# size stringref buffer js
1 1.11343e-07 3.29903e-07 3.25e-08
1 1.11343e-07 3.29903e-07 3.24706e-08
1 1.11343e-07 3.29903e-07 3.23725e-08
1 1.11343e-07 3.29903e-07 3.24683e-08
1 1.11343e-07 3.33126e-07 3.25e-08
1 1.11343e-07 3.33126e-07 3.24706e-08
1 1.11343e-07 3.33126e-07 3.23725e-08
1 1.11343e-07 3.33126e-07 3.24683e-08
1 1.11343e-07 3.30313e-07 3.25e-08
1 1.11343e-07 3.30313e-07 3.24706e-08
1 1.11343e-07 3.30313e-07 3.23725e-08
1 1.11343e-07 3.30313e-07 3.24683e-08
1 1.11343e-07 3.30702e-07 3.25e-08
1 1.11343e-07 3.30702e-07 3.24706e-08
1 1.11343e-07 3.30702e-07 3.23725e-08
1 1.11343e-07 3.30702e-07 3.24683e-08
1 1.11671e-07 3.29903e-07 3.25e-08
1 1.11671e-07 3.29903e-07 3.24706e-08
1 1.11671e-07 3.29903e-07 3.23725e-08
1 1.11671e-07 3.29903e-07 3.24683e-08
1 1.11671e-07 3.33126e-07 3.25e-08
1 1.11671e-07 3.33126e-07 3.24706e-08
1 1.11671e-07 3.33126e-07 3.23725e-08
1 1.11671e-07 3.33126e-07 3.24683e-08
1 1.11671e-07 3.30313e-07 3.25e-08
1 1.11671e-07 3.30313e-07 3.24706e-08
1 1.11671e-07 3.30313e-07 3.23725e-08
1 1.11671e-07 3.30313e-07 3.24683e-08
1 1.11671e-07 3.30702e-07 3.25e-08
1 1.11671e-07 3.30702e-07 3.24706e-08
1 1.11671e-07 3.30702e-07 3.23725e-08
1 1.11671e-07 3.30702e-07 3.24683e-08
1 1.11781e-07 3.29903e-07 3.25e-08
1 1.11781e-07 3.29903e-07 3.24706e-08
1 1.11781e-07 3.29903e-07 3.23725e-08
1 1.11781e-07 3.29903e-07 3.24683e-08
1 1.11781e-07 3.33126e-07 3.25e-08
1 1.11781e-07 3.33126e-07 3.24706e-08
1 1.11781e-07 3.33126e-07 3.23725e-08
1 1.11781e-07 3.33126e-07 3.24683e-08
1 1.11781e-07 3.30313e-07 3.25e-08
1 1.11781e-07 3.30313e-07 3.24706e-08
1 1.11781e-07 3.30313e-07 3.23725e-08
1 1.11781e-07 3.30313e-07 3.24683e-08
1 1.11781e-07 3.30702e-07 3.25e-08
1 1.11781e-07 3.30702e-07 3.24706e-08
1 1.11781e-07 3.30702e-07 3.23725e-08
1 1.11781e-07 3.30702e-07 3.24683e-08
1 1.10578e-07 3.29903e-07 3.25e-08
1 1.10578e-07 3.29903e-07 3.24706e-08
1 1.10578e-07 3.29903e-07 3.23725e-08
1 1.10578e-07 3.29903e-07 3.24683e-08
1 1.10578e-07 3.33126e-07 3.25e-08
1 1.10578e-07 3.33126e-07 3.24706e-08
1 1.10578e-07 3.33126e-07 3.23725e-08
1 1.10578e-07 3.33126e-07 3.24683e-08
1 1.10578e-07 3.30313e-07 3.25e-08
1 1.10578e-07 3.30313e-07 3.24706e-08
1 1.10578e-07 3.30313e-07 3.23725e-08
1 1.10578e-07 3.30313e-07 3.24683e-08
1 1.10578e-07 3.30702e-07 3.25e-08
1 1.10578e-07 3.30702e-07 3.24706e-08
1 1.10578e-07 3.30702e-07 3.23725e-08
1 1.10578e-07 3.30702e-07 3.24683e-08
2 1.10796e-07 3.30038e-07 3.36109e-08
2 1.10796e-07 3.30038e-07 3.26415e-08
2 1.10796e-07 3.30038e-07 3.28465e-08
2 1.10796e-07 3.29047e-07 3.36109e-08
2 1.10796e-07 3.29047e-07 3.26415e-08
2 1.10796e-07 3.29047e-07 3.28465e-08
2 1.10796e-07 3.29706e-07 3.36109e-08
2 1.10796e-07 3.29706e-07 3.26415e-08
2 1.10796e-07 3.29706e-07 3.28465e-08
2 1.12e-07 3.30038e-07 3.36109e-08
2 1.12e-07 3.30038e-07 3.26415e-08
2 1.12e-07 3.30038e-07 3.28465e-08
2 1.12e-07 3.29047e-07 3.36109e-08
2 1.12e-07 3.29047e-07 3.26415e-08
2 1.12e-07 3.29047e-07 3.28465e-08
2 1.12e-07 3.29706e-07 3.36109e-08
2 1.12e-07 3.29706e-07 3.26415e-08
2 1.12e-07 3.29706e-07 3.28465e-08
2 1.13204e-07 3.30038e-07 3.36109e-08
2 1.13204e-07 3.30038e-07 3.26415e-08
2 1.13204e-07 3.30038e-07 3.28465e-08
2 1.13204e-07 3.29047e-07 3.36109e-08
2 1.13204e-07 3.29047e-07 3.26415e-08
2 1.13204e-07 3.29047e-07 3.28465e-08
2 1.13204e-07 3.29706e-07 3.36109e-08
2 1.13204e-07 3.29706e-07 3.26415e-08
2 1.13204e-07 3.29706e-07 3.28465e-08
3 1.38962e-07 3.62931e-07 7.46095e-08
4 1.51595e-07 3.68864e-07 9.1381e-08
4 1.51595e-07 3.68864e-07 9.12299e-08
4 1.51595e-07 3.64786e-07 9.1381e-08
4 1.51595e-07 3.64786e-07 9.12299e-08
4 1.42313e-07 3.68864e-07 9.1381e-08
4 1.42313e-07 3.68864e-07 9.12299e-08
4 1.42313e-07 3.64786e-07 9.1381e-08
4 1.42313e-07 3.64786e-07 9.12299e-08
5 1.46673e-07 3.73692e-07 9.73196e-08
6 1.50813e-07 3.77775e-07 1.08173e-07
8 1.60288e-07 3.84375e-07 1.19971e-07
9 1.65514e-07 3.90625e-07 1.2422e-07
11 1.76174e-07 4.03482e-07 1.4663e-07
13 1.87346e-07 4.1465e-07 1.73143e-07
16 2.03531e-07 4.34841e-07 1.65683e-07
19 2.23826e-07 4.58432e-07 1.79795e-07
22 2.43986e-07 4.81869e-07 1.92971e-07
26 2.69609e-07 5.13513e-07 2.66332e-07
32 3.17286e-07 5.5781e-07 2.86228e-07
38 3.89188e-07 6.20627e-07 3.10938e-07
45 4.43631e-07 6.81333e-07 3.38904e-07
53 5.01499e-07 7.4887e-07 3.72203e-07
